,match_id,court_type,time_ms,time_diff,hit_id,opp_id,is_far,prev_hit_x,prev_hit_y,prev_opp_x,prev_opp_y,curr_hit_x,curr_hit_y,curr_opp_x,curr_opp_y,hit_move_dist,hit_move_speed,opp_move_dist,opp_move_speed,is_serve,is_forehand,is_backhand,outcome,final_outcome,prev_bounce_time_ms,prev_bounce_x,prev_bounce_y,bounce_time_ms,bounce_x,bounce_y,is_final_shot
0,1,0,0.0062944444444444,0.0,0.0,3.0,0.0,1.0600030422210691,11.14244270324707,4.508767604827881,13.874152183532717,1.0600030422210691,11.14244270324707,4.508767604827881,13.874152183532717,0.0,0.0,0.0,0.0,1,0,0,1,1.0,-1.0,-1.0,-1.0,0.0063825,-3.4564433097839355,-5.53709077835083,0
1,1,0,0.0065027777777777,0.75,3.0,0.0,1.0,4.508767604827881,13.874152183532717,1.0600030422210691,11.14244270324707,5.178141117095947,13.20783519744873,0.3169831335544586,11.492424011230469,0.944478281841426,1.2593043757885678,0.8213193927456891,1.0950925236609188,0,0,1,0,0.0,0.0063825,-3.4564433097839355,-5.53709077835083,0.0067897222222222,-2.442255735397339,-12.556276321411133,1
2,1,0,0.0110222222222222,0.0,0.0,3.0,0.0,-1.151331901550293,11.326887130737305,-3.549304723739624,15.551025390625,-1.151331901550293,11.326887130737305,-3.549304723739624,15.551025390625,0.0,0.0,0.0,0.0,1,0,0,1,1.0,-1.0,-1.0,-1.0,0.0111069444444444,3.4242117404937744,-5.701158046722412,0
3,1,0,0.011225,0.73,3.0,0.0,1.0,-3.549304723739624,15.551025390625,-1.151331901550293,11.326887130737305,-4.493632316589356,14.82450008392334,-1.3059229850769043,11.364036560058594,1.1914670049545264,1.6321465821294885,0.1589920853527909,0.217797377195604,0,1,0,1,0.0,0.0111069444444444,3.4242117404937744,-5.701158046722412,0.0114444444444444,1.467470407485962,-6.45711088180542,0
4,1,0,0.0115444444444444,1.15,0.0,3.0,0.0,-1.3059229850769043,11.364036560058594,-4.493632316589356,14.82450008392334,-4.085760593414307,11.122504234313965,-3.572995662689209,13.914113998413086,2.7903109133404147,2.426357315948187,1.2947488842223969,1.1258685949759974,0,1,0,1,1.0,0.0114444444444444,1.467470407485962,-6.45711088180542,0.0117386111111111,-1.8029776811599727,-7.75418758392334,0
5,1,0,0.0118833333333333,1.22,3.0,0.0,1.0,-3.572995662689209,13.914113998413086,-4.085760593414307,11.122504234313965,1.5913361310958862,14.566444396972656,-3.773184537887573,12.05825424194336,5.205368292105481,4.266695321397935,0.9865758294561364,0.8086687126689642,0,0,1,1,0.0,0.0117386111111111,-1.8029776811599727,-7.75418758392334,0.0121086111111111,0.0652434527873992,-7.350616455078125,0
6,1,0,0.0122277777777777,1.24,0.0,3.0,0.0,-3.773184537887573,12.05825424194336,1.5913361310958862,14.566444396972656,-0.2915627956390381,12.823493957519531,2.515398502349853,14.683237075805664,3.564727447981518,2.874780199985095,0.9314138692313396,0.751140217122048,0,1,0,1,1.0,0.0121086111111111,0.0652434527873992,-7.350616455078125,0.0124286111111111,2.7589926719665527,-8.919005393981934,0
7,1,0,0.0125472222222222,1.15,3.0,0.0,1.0,2.515398502349853,14.683237075805664,-0.2915627956390381,12.823493957519531,-2.581395149230957,15.40419578552246,-0.2748295962810516,12.39589023590088,5.147532125971723,4.476114892149324,0.4279310022689125,0.3721139150164457,0,1,0,0,0.0,0.0124286111111111,2.7589926719665527,-8.919005393981934,0.0129358333333333,2.173575162887573,-13.735613822937012,1
8,1,0,0.0223916666666666,0.0,0.0,3.0,0.0,-1.133069634437561,11.228487968444824,-3.345891237258911,15.078523635864258,-1.133069634437561,11.228487968444824,-3.345891237258911,15.078523635864258,0.0,0.0,0.0,0.0,1,0,0,0,0.0,-1.0,-1.0,-1.0,0.0224933333333333,4.264804840087891,-5.162343502044678,1
9,1,0,0.0247694444444444,0.0,0.0,3.0,0.0,-1.096662998199463,11.192995071411133,-3.5165014266967773,15.310644149780272,-1.096662998199463,11.192995071411133,-3.5165014266967773,15.310644149780272,0.0,0.0,0.0,0.0,1,0,0,1,0.0,-1.0,-1.0,-1.0,0.0248788888888888,0.4961020946502685,-5.063456058502197,0
10,1,0,0.0250444444444444,0.99,3.0,0.0,1.0,-3.5165014266967773,15.310644149780272,-1.096662998199463,11.192995071411133,-1.4149823188781738,16.838151931762695,-0.7494907975196838,8.921311378479004,2.598011274906935,2.624253813037308,2.298059037026376,2.321271754572097,0,0,1,1,1.0,0.0248788888888888,0.4961020946502685,-5.063456058502197,0.0253683333333333,3.937814235687256,-11.799588203430176,1
11,1,0,0.0317361111111111,0.0,0.0,3.0,0.0,0.9778302907943726,11.383929252624512,4.261482238769531,14.24958324432373,0.9778302907943726,11.383929252624512,4.261482238769531,14.24958324432373,0.0,0.0,0.0,0.0,1,0,0,0,0.0,-1.0,-1.0,-1.0,0.0318191666666666,-2.1623189449310303,0.1156278848648071,1
12,1,0,0.0651805555555555,0.0,3.0,0.0,0.0,-0.6669100522994995,11.546512603759766,-3.739812135696411,12.428362846374512,-0.6669100522994995,11.546512603759766,-3.739812135696411,12.428362846374512,0.0,0.0,0.0,0.0,1,0,0,1,1.0,-1.0,-1.0,-1.0,0.0653147222222222,3.9757251739501953,-6.114381790161133,0
